code,name,category
-1,Not reported,0
-2,Not applicable,0
22,American Evangelical Lutheran Church,2
24,African Methodist Episcopal Zion Church,2
27,Assemblies of God Church,2
28,Brethren Church,2
30,Roman Catholic,1
33,Wisconsin Evangelical Lutheran Synod,2
34,Christ and Missionary Alliance Church,2
35,Christian Reformed Church,2
36,Evangelical Congregational Church,2
37,Evangelical Covenant Church of America,2
38,Evangelical Free Church of America,2
39,Evangelical Lutheran Church,2
40,International United Pentecostal Church,2
41,Free Will Baptist Church,2
42,Interdenominational,2
43,Mennonite Brethren Church,2
44,Moravian Church,2
45,North American Baptist,2
47,Pentecostal Holiness Church,2
48,Christian Churches and Churches of Christ,2
49,Reformed Church in America,2
50,"Episcopal Church, Reformed",2
51,African Methodist Episcopal,2
52,American Baptist,2
53,American Lutheran,2
54,Baptist,2
55,Christian Methodist Episcopal,2
57,Church of God,2
58,Church of Brethren,2
59,Church of the Nazarene,2
60,Cumberland Presbyterian,2
61,Christian Church (Disciples of Christ),2
64,Free Methodist,2
65,Friends,2
66,Presbyterian Church (USA),2
67,Lutheran Church in America,2
68,Lutheran Church - Missouri Synod,2
69,Mennonite Church,2
71,United Methodist,2
73,Protestant Episcopal,2
74,Churches of Christ,2
75,Southern Baptist,2
76,United Church of Christ,2
77,"Protestant, not specified",2
78,Multiple Protestant Denomination,2
79,Other Protestant,2
80,Jewish,0
81,Reformed Presbyterian Church,2
84,United Brethren Church,2
87,Missionary Church Inc,2
88,Undenominational,0
89,Wesleyan,2
91,Greek Orthodox,1
92,Russian Orthodox,1
93,Unitarian Universalist,2
94,Latter Day Saints (Mormon Church),2
95,Seventh Day Adventists,2
97,The Presbyterian Church in America,2
99,Other (none of the above),2
100,Original Free Will Baptist,2
101,Ecumenical Christian,2
102,Evangelical Christian,2
103,Presbyterian,2
